subject,theta_fooof,alpha_fooof,exponent,ratio_fooof,pci_fooof,conv_fooof
S001R02,7.603003101225433,10.30401108585936,1.7062740869871809,1.3552554100890193,0.7192486242410454,0.31240159499769626
S002R02,7.793660819593947,10.671777637827793,1.030544947373581,1.3692894629181203,0.7396777304924897,0.2960229186280249
S003R02,7.794076948121627,10.520408359103023,1.4125690736065055,1.3497952905941533,0.71161472042264,0.3099495596132255
S004R02,7.843316338878488,10.895844815964502,1.3278034749888854,1.3891884944070092,0.7708192303601565,0.2814896506671375
S005R02,6.890365026882016,10.72507442559266,1.2742520815415967,1.5565321116878337,1.2134537867437467,0.23069597244453088
S006R02,6.6471287987870165,10.616738000081538,1.1272598980940742,1.5971915576570301,1.4257216995407271,0.22373320685628903
S007R02,6.789863601023764,10.707893784547892,1.5236369945547021,1.5770410738344398,1.310793205843514,0.22634521686366807
S008R02,7.060218187756499,9.836063149880518,1.2477504541602031,1.3931670223645156,0.7773785980584073,0.3052647520142748
S009R02,7.498759508447682,9.697466092169378,0.7952529708831403,1.293209374329815,0.6413877485821321,0.3705478787623267
S010R02,7.484638945879634,10.038792821670393,1.6308830245307153,1.3412527837694623,0.7000039827866603,0.32742292650238103
S011R02,7.70298477522139,10.24700872926415,1.3409791854015616,1.3302646997597944,0.6856361140483315,0.32851252654299995
S012R02,7.702181453193112,11.308469311744032,1.694162811413042,1.4682164241996472,0.9278159374405036,0.24352895716202733
S013R02,7.147033116377253,10.003000028062724,1.448469816978636,1.3996017459526096,0.7882393583752452,0.2979767161940727
S014R02,7.062001980650078,10.29681631808741,1.6704005745000954,1.4580591093433195,0.9039111768684397,0.2677509267264291
S015R02,7.420029922196978,10.673394597539419,1.1268922369174497,1.4384570829842638,0.8612974099978705,0.2664276153525541
S016R02,7.348258751774538,11.072213796189095,1.3260434143164834,1.5067806088776141,1.0325059799835028,0.2367449438938337
S017R02,7.534508284030251,10.854991205098196,0.9981010793988343,1.440703334032543,0.865963074977558,0.26174701488273333
S018R02,7.011429332965085,10.573555506051074,1.417726344892711,1.5080456500271948,1.0363774675197097,0.24617649905253983
S019R02,5.9476780521993335,10.099582464609162,1.5255427868548563,1.698071478646114,0.8031092213148103,0.21496572400161798
S020R02,6.994365131282564,10.760150399871202,1.5484803003183727,1.5384027281827226,1.1398787348636075,0.23442342664633378
S021R02,6.703339489503205,10.187404581596525,1.4500193944456747,1.5197506552590743,1.0737608740974385,0.25099991513305747
S022R02,6.773417490089008,10.140468058217767,1.5409843132979668,1.4970977461607071,1.0038808680749602,0.2585950150850739
S023R02,7.583236707617289,10.407219542225466,1.616139053660493,1.3723980858689948,0.7443681276528851,0.3008439121852076
S024R02,7.5588786489266475,9.13005912874785,0.9009616797490356,1.207858936860206,0.558870334734006,0.48281644682472385
S025R02,7.587537391572305,10.389382605207189,1.1983081287185715,1.3692693780655334,0.73964762663858,0.30286095661617507
S026R02,7.5048871235459735,10.150299411052183,0.8189094295240764,1.352491948773812,0.7153637522716029,0.31792334631999364
S027R02,7.023700336604262,10.601137227720331,1.5133998747042936,1.5093379158663889,1.040365033456437,0.24525210976993972
S028R02,6.940508070083473,9.984966670741075,1.7938296795490258,1.4386506823298006,0.861697431402896,0.2821305346363674
S029R02,7.671455336546922,10.006381836758505,1.3827432192887803,1.3043655209837384,0.6540750054548534,0.3527428312252065
S030R02,7.1838649411472435,10.200165858263917,1.3332527621055794,1.4198716069730257,0.8246433125007292,0.2843897674206986
S031R02,6.948943050844958,9.677066051395819,1.73760615315582,1.3925953890526033,0.7764289502899667,0.309777539402729
S032R02,7.268724216272968,10.80168729814896,1.2716160187335521,1.4860499555020281,0.973244968499037,0.2479566461924654
S033R02,7.815374368223864,11.254026593587447,1.4713857614506312,1.4399856057241,0.8644664656220007,0.2538939573187852
S034R02,6.967841742808552,10.10985798029541,1.6617416894056674,1.4509310563388877,0.8879048007891331,0.274573185508377
S035R02,6.098923708647058,10.673920045726126,1.7736157098477885,1.7501317536719858,0.4103980095927817,0.19704447719376159
S036R02,6.947909870095179,10.441967884218105,1.3703611586369515,1.5028933995188773,1.0208038876045558,0.25037192661298757
S037R02,7.387968713816881,8.47354112336376,0.7650821802598036,1.1469378731283275,0.5121225485969115,0.630687059120673
S038R02,7.971405892775005,11.207645546696474,1.479125773989538,1.4059810399135089,0.7993263628713921,0.2676487839719873
S039R02,6.7737258128591655,10.505824777324317,1.687004428271909,1.5509669371884196,1.1897633578670213,0.2362893704510473
S040R02,7.785285534421899,9.944832254092574,1.059100975425114,1.277388248654779,0.6242430735980935,0.3760039230007688
S041R02,7.163804695545264,10.228085006372819,1.3520479523277515,1.4277448145303355,0.8397603913320043,0.2805615475758751
S042R02,7.257801425804558,11.079762532462283,1.5396857959636772,1.5266003962396981,1.0970418305694343,0.23137644585916314
S043R02,6.331593045673455,10.683151444056067,1.484419304140685,1.6872770196998284,0.8914409496289191,0.20611933689871176
S044R02,7.545035925488941,10.16445695774625,1.7138529422639088,1.3471714459845414,0.7080059983525688,0.3205723080210078
S045R02,7.255821297782863,10.43905223956009,1.4380072599472435,1.438714076757915,0.8618285047859059,0.27150076001410917
S046R02,6.9139196687891635,10.551045260705253,1.5381699267268791,1.5260584105908568,1.0951594050794031,0.2417137159079705
S047R02,7.700845634357908,10.198638355077051,1.3312790174277969,1.3243530437196471,0.6781566377784983,0.33357876716710055
S048R02,7.370269190759845,10.029144083716012,1.1730678543667348,1.3607568223274147,0.7271150413979163,0.3165684092870708
